client_id,name,age,employment_type,annual_income,existing_pensions,existing_investments,case_type,phone,email,date_registered,risk_profile,communication_preference,document_responsiveness
CLI_0001,Client_1,33,Retired,55373,2,0,General Review,07861942195,client_1@email.com,2025-03-10T16:33:17.844950,Moderate,WhatsApp,Low
CLI_0002,Client_2,72,Student,8809,2,0,Pension Consolidation,07998982486,client_2@email.com,2025-11-07T16:33:17.845010,Conservative,WhatsApp,Low
CLI_0003,Client_3,50,Unemployed,17525,3,1,Protection Review,07869517438,client_3@email.com,2025-02-09T16:33:17.845025,Balanced,SMS,High
CLI_0004,Client_4,23,Student,14235,3,1,Pension Consolidation,07787763152,client_4@email.com,2025-05-14T16:33:17.845168,Growth,Email,High
CLI_0005,Client_5,43,Unemployed,2946,1,3,Pension Consolidation,07938878082,client_5@email.com,2025-05-18T16:33:17.845290,Aggressive,Email,Very High
CLI_0006,Client_6,60,Self-Employed,51767,1,1,Investment Planning,07709098226,client_6@email.com,2025-05-23T16:33:17.845302,Balanced,Email,Very High
CLI_0007,Client_7,72,Self-Employed,42801,4,3,Pension Consolidation,07943157256,client_7@email.com,2025-08-12T16:33:17.845311,Balanced,Email,Medium
CLI_0008,Client_8,62,Retired,73498,3,3,Protection Review,07761203017,client_8@email.com,2025-03-04T16:33:17.845320,Aggressive,WhatsApp,Very High
CLI_0009,Client_9,75,Self-Employed,184213,2,3,Retirement Planning,07860601208,client_9@email.com,2025-05-30T16:33:17.845329,Moderate,Email,High
CLI_0010,Client_10,46,Self-Employed,210125,3,1,Pension Consolidation,07821060215,client_10@email.com,2025-10-02T16:33:17.845338,Moderate,SMS,Medium
CLI_0011,Client_11,51,Unemployed,16518,2,3,Investment Planning,07806176685,client_11@email.com,2025-10-01T16:33:17.845348,Aggressive,Email,Low
CLI_0012,Client_12,30,Student,3848,1,3,Protection Review,07779581842,client_12@email.com,2025-10-02T16:33:17.845357,Growth,Email,Very High
CLI_0013,Client_13,22,Self-Employed,147367,1,0,General Review,07837621673,client_13@email.com,2025-11-29T16:33:17.845365,Moderate,Phone,High
CLI_0014,Client_14,39,Self-Employed,209720,1,1,General Review,07881291363,client_14@email.com,2025-04-22T16:33:17.845374,Aggressive,SMS,High
CLI_0015,Client_15,24,Self-Employed,112048,1,2,Investment Planning,07844779048,client_15@email.com,2025-02-23T16:33:17.845382,Growth,SMS,Medium
CLI_0016,Client_16,51,Employed,113077,3,3,Investment Planning,07877260569,client_16@email.com,2025-10-21T16:33:17.845390,Conservative,Phone,Very High
CLI_0017,Client_17,57,Retired,68840,4,2,General Review,07904551372,client_17@email.com,2025-06-25T16:33:17.845399,Moderate,Email,Low
CLI_0018,Client_18,40,Student,1897,1,3,General Review,07787602658,client_18@email.com,2025-02-11T16:33:17.845408,Moderate,Phone,Medium
CLI_0019,Client_19,74,Retired,58160,2,0,Pension Consolidation,07921704656,client_19@email.com,2025-07-22T16:33:17.845417,Moderate,Phone,High
CLI_0020,Client_20,67,Employed,72804,1,0,Protection Review,07887199457,client_20@email.com,2025-11-08T16:33:17.845425,Growth,Email,Low
CLI_0021,Client_21,65,Student,10744,2,2,Investment Planning,07721395317,client_21@email.com,2025-05-08T16:33:17.845433,Conservative,SMS,High
CLI_0022,Client_22,42,Self-Employed,127762,3,2,General Review,07932384354,client_22@email.com,2025-03-11T16:33:17.845441,Conservative,Phone,Low
